Country_code_A3,Name,year,co2_gg,co2_mt,ch4_gg,ch4_mt,n2o_gg,n2o_mt,gdp_annual_growth,post_paris,co2_mt_mean,co2_gg_mean,rank
CAN,Canada,1970,358161.8710437,358.1618710437,2697.0124845479,2.6970124845479,101.23937829194,.10123937829194,2.9187131,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1971,365819.70392467,365.81970392467,2720.0012491461,2.7200012491461,104.59994799122,.10459994799122,4.0188451,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1972,383070.06243792,383.07006243792,2886.5298486349,2.8865298486349,106.54367263644,.10654367263644,5.51967,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1973,402016.5393037,402.0165393037,3064.6864120951,3.0646864120951,118.42462398863,.11842462398863,6.7286415,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1974,410092.25813625,410.09225813625,3024.832865481,3.024832865481,123.22028853927,.12322028853927,3.3577759,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1975,400248.64313112,400.24864313112,2982.0234592433,2.9820234592433,113.15230212954,.11315230212954,1.5454034,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1976,413397.20549227,413.39720549227,2927.983781296,2.927983781296,120.67121128962,.12067121128962,5.889276,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1977,427905.99430029,427.90599430029,2930.4245738899,2.9304245738899,132.69246382651,.13269246382651,3.5348265,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1978,431064.08035698,431.06408035698,2915.0270960598,2.9150270960598,144.87864941914,.14487864941914,3.7359765,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1979,445224.03499732,445.22403499732,3022.7442196007,3.0227442196007,140.07699415198,.14007699415198,3.7251995,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1980,450458.43545209,450.45843545209,3015.6100877372,3.0156100877372,135.07623733471,.13507623733471,2.1771991,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1981,431801.23351931,431.80123351931,3013.6389304222,3.0136389304222,128.80234846534,.12880234846534,3.4150653,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1982,413801.67633408,413.80167633408,2990.969083345,2.990969083345,130.02924791827,.13002924791827,-3.1661503,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1983,407451.4704778,407.4514704778,2973.5173437331,2.9735173437331,161.82522921851,.16182522921851,2.5622535,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1984,426805.90289026,426.80590289026,3083.4108258704,3.0834108258704,155.15208627516,.15515208627516,5.8985696,0,579.8594677981177,579859.4677981178,11
CAN,Canada,1985,426677.47023733,426.67747023733,3127.7198298853,3.1277198298853,135.43801144749,.13543801144749,4.7376809,0,579.8594677981177,579859.4677981178,11
